text,label,cleaned_text
i didnt feel humiliated,0,didnt feel humiliated
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,go feeling hopeless damned hopeful around someone care awake
im grabbing a minute to post i feel greedy wrong,3,im grabbing minute post feel greedy wrong
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,ever feeling nostalgic fireplace know still property
i am feeling grouchy,3,feeling grouchy
ive been feeling a little burdened lately wasnt sure why that was,0,ive feeling little burdened lately wasnt sure
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5,ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny
i feel as confused about life as a teenager or as jaded as a year old man,4,feel confused life teenager jaded year old man
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,petronas year feel petronas performed well made huge profit
i feel romantic too,2,feel romantic
i feel like i have to make the suffering i m seeing mean something,0,feel like make suffering seeing mean something
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,feel running divine experience expect type spiritual encounter
i think it s the easiest time of year to feel dissatisfied,3,think easiest time year feel dissatisfied
i feel low energy i m just thirsty,0,feel low energy thirsty
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious
i do not feel reassured anxiety is on each side,1,feel reassured anxiety side
i didnt really feel that embarrassed,0,didnt really feel embarrassed
i feel pretty pathetic most of the time,0,feel pretty pathetic time
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,started feeling sentimental doll child began collection vintage barbie doll sixty
i now feel compromised and skeptical of the value of every unit of work i put in,4,feel compromised skeptical value every unit work put
i feel irritated and rejected without anyone doing anything or saying anything,3,feel irritated rejected without anyone anything saying anything
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4,feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful
i have the feeling she was amused and delighted,1,feeling amused delighted
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,able help chai lifeline support encouragement great feeling glad able help
i already feel like i fucked up though because i dont usually eat at all in the morning,3,already feel like fucked though dont usually eat morning
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,still love wish best longer tolerate effect bm life fact turned bitter angry person always particularly kind people around feeling stressed
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0,feel inhibited someone elses kitchen like im painting someone elses picture
i become overwhelmed and feel defeated,0,become overwhelmed feel defeated
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3,feel kinda appalled feel like need explain wide lenghth body measure etc pp
i feel more superior dead chicken or grieving child,1,feel superior dead chicken grieving child
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,get giddy feeling elegant perfectly fitted pencil skirt
i remember feeling acutely distressed for a few days,4,remember feeling acutely distressed day
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5,seen heard read past couple day left feeling impressed company
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3,climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently
i am not sure what would make me feel content if anything,1,sure would make feel content anything
i have been feeling the need to be creative,1,feeling need creative
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1,however want know something someone causing feel less splendid self step away
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3,feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1,need need someone need protected feel safe small find season word
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,already christmas tree got two feeling festive sure spurring get started book
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,ive worn little concealer day im feeling brave dont want pale perfect
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1,feel strongly passionate jerk decides poke make fun u
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0,feeling discouraged already robbing peter pay paul get cow year cant afford get cow way
i was feeling listless from the need of new things something different,0,feeling listless need new thing something different
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1,lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2,let go sad feeling want accepted first home mine
on a boat trip to denmark,1,boat trip denmark
i stopped feeling cold and began feeling hot,3,stopped feeling cold began feeling hot
i need to feel the dough to make sure its just perfect,1,need feel dough make sure perfect
i found myself feeling a little discouraged that morning,0,found feeling little discouraged morning
i feel selfish and spoiled,3,feel selfish spoiled
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4,stymied little bit wrote feeling unsure might go somewhere story unintended
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u
i feel you know basically like a fake in the realm of science fiction,0,feel know basically like fake realm science fiction
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0,hate living dad roof give excuse asshole he providing live think feel need make feel unwelcome possible ill leave
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5,keep feeling pleasantly surprised supportiveness also ease new situation
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1,feeling anymore vigorous sexual activity coming yes misspelt cumming day part begin fall
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,feel mom graceful warm loving smile rob time nurture heal
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1,feel talk brother law extremely popular one think stiff
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2,ate could feel gentle tingle throughout almost feeling healing taking place cellular level
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4,feel like pressured young beautiful thin depending trend girl rejuvenated butt implant
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4,began several time week feeling tortured hallucination moving people figure sound vibration
i am now nearly finished the week detox and i feel amazing,5,nearly finished week detox feel amazing
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3,feel selfish read back former post never asked prayer others never considered may others deserve prayer answered
i know the pain parents feel when an enraged child becomes violent,3,know pain parent feel enraged child becomes violent
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0,roller coaster emotion supposed feeling something unpleasant coming
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2,suppose truth need shared havent feeling faithful lately ive dwelled doubt uncertainty faith
i was feeling brave when i bought it and clearly when i was doing my makeup,1,feeling brave bought clearly makeup
i am feeling miserable but c i am also the proudest mum on earth,0,feeling miserable c also proudest mum earth
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0,figure family love u matter around anyone else feel embarrassed michelle go ballistic
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1,necessarily think f bomb sex necessary story feel reassured see print journal
i can feel my ovaries aching talking to me as i like to put it,0,feel ovary aching talking like put
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0,feel like much chris mostly took many picture unimportant stuff
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0,im tired book ready finding given unsuitable image feeling blamed result sit well
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief
i think feelings are one of nay the most important things we have,1,think feeling one nay important thing
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1,feel completely honored influence young talented fully alive beautiful girl woman
i feel angered and firey,3,feel angered firey
i feel like a miserable piece of garbage,0,feel like miserable piece garbage
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3,feel like need make list leanne would appalled thought dont miss anything
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3,drove dannika school feeling little bit rushed greeted turned corner
i remember feeling so hellip furious with the shooter,3,remember feeling hellip furious shooter
i feel very happy and excited since i learned so many things,1,feel happy excited since learned many thing
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,feel show around show horse people trusting relaxed show horse safe quiet handled frequently
i only have a couple of things left to make and at the start of december i am done and feeling smug,1,couple thing left make start december done feeling smug
i think about how u could make me feel and realize that everything will be ok,1,think u could make feel realize everything ok
i feel so worthless during those times i was struggling finding work,0,feel worthless time struggling finding work
i will be able to lay on my bed in the dark and not feel terrified at least for a while,4,able lay bed dark feel terrified least
i was ready to meet mom in the airport and feel her ever supportive arms around me,2,ready meet mom airport feel ever supportive arm around
im feeling bitter today my mood has been strange the entire day so i guess its that,3,im feeling bitter today mood strange entire day guess
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,mum brother passed away involved car accident bringing present passed form five exam flying colour
i am letting go of the animosity that is towards anyone that i feel has wronged me,3,letting go animosity towards anyone feel wronged
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2,talk dog feel cannot understand word read emotion know supportive decided go home
i feel like throwing away the shitty piece of shit paper,0,feel like throwing away shitty piece shit paper
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,im starting feel wryly amused banal comedy error life turning
i find every body beautiful and only want people to feel vital in their bodies,1,find every body beautiful want people feel vital body
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,hear owner feel victimized association association attorney property manager
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3,say goodbye fam theyre sad cry feel like heartless bitch hey im pretty excited flying first time know also spend year another country
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2,wont let child cry feel loving lily little going opportunity lasted short month
i alba i feel good and im fitting in,1,alba feel good im fitting
i feel excited about what im doing again i feel like i have a ton of catching up to do,1,feel excited im feel like ton catching
i also know how good it feels to look back and see that i honored my word and that helps from the start,1,also know good feel look back see honored word help start
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0,mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,1,feel like thing getting little overwhelming spritz toner really help calm soothe
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1,hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1,feeling festive today even going put tree soon finished catching week going ons coronation street
finding out that i am not ill not seriously,1,finding ill seriously
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost cry finished grappling
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1,feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepared say somebody face
i am feeling all useful,1,feeling useful
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,2,feel like pain cannot imagine becoming passionate group idea causing pain
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair
im not feeling homesick yet so im feeling alright about this,0,im feeling homesick yet im feeling alright
i dance i should feel pretty,1,dance feel pretty
i workout every morning before and feel fabulous for it,1,workout every morning feel fabulous
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0,feel eye touch word eye know assuredly return love know shall vain
i was feeling fabulous until friday morning when i started to get these awful cramps at work,1,feeling fabulous friday morning started get awful cramp work
i feel honoured to have been able to call them friends to share their brotherhood,1,feel honoured able call friend share brotherhood
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4,begun feel apprehensive thick black rain cloud stormed sky town
i had stated to her the reason i feel so fearful is because i feel unsafe,4,stated reason feel fearful feel unsafe
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4,feel like getting shaken tsa quite yet pulled side creative croissant lunch
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0,get group feel really awkward overcompensate talkative getting really quiet
