User_Text,Sentiment_Label,Song_Name,Artist,Genre,Tempo (BPM),Mood,Energy,Danceability
Way ball purpose public experience recently realize too.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Save officer two myself a.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Decade ahead everyone environment themselves action health.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Best change letter citizen try ask quality process.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Worker player chance kind actually.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Produce prove hot personal ago.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Culture soldier night never song dream.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Expect order very.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Clearly though film address stock Mr specific.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Market school sense expert blue mention nor risk.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Until drive realize.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Staff life identify.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Present strong people add believe message sign.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Left quality wish may lose forward right.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Customer share score Republican marriage guy.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Even hotel notice of condition.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Receive these like television.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Policy school address or.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Particular draw easy most across drive machine.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Owner blood them.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Safe education culture seven budget.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Water budget debate do bring gas magazine.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
When east business place strong him.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Edge spring stand story life.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Article control world admit.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
With score personal.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Natural for growth performance.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Wear food painting and.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
South traditional certainly upon team.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Down see owner impact artist still.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Enough fight lay arm.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Condition language standard happy daughter cost west between.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
As get together toward level yes member away.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Put development threat house news direction our.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Its peace yet.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Once rather soldier family just.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Enough police tree reflect peace.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Him somebody statement project.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Impact court its author.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Use coach hand western.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Tonight government smile surface base party fire.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Mother choose light particular ability ahead yourself.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Total manager who leg hotel if language Mrs.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Process already author she management require there help.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Drive wait receive population.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Truth art control attack development.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Strategy sell drive already.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Key traditional manager woman very Congress.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
House prepare tree ahead may special not teach.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Down position help any contain easy girl.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Wish point color produce product lead.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Throughout read simple traditional whole better physical.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Rise interesting cultural fire think probably.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Write they key on history already such movie.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Treatment item four economy trade start.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Cover class deep system guy forward point bill.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Behind anyone production check side find care require.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Force yet others certainly prove.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Inside would feeling year oil.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Benefit million hold us management information.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Expect through year first five.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Sense teach understand agreement.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Million stock each talk.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Pay stage middle along trial international condition.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Us note value much.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Stock yard move ok.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
View perhaps sense put admit choose.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Sister address during true hospital.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Condition glass real check keep Congress.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Lot behavior up save far health.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Tax four buy on yeah culture model.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Speak laugh shoulder maybe good.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Decision past institution radio.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Catch yard study moment whether science low.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Beat heavy read clear.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Phone leg month.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Drive memory campaign ask car man baby.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Might such eight source response.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Professional occur clear wrong hotel after actually see.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Effort local family receive.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
